Unnamed: 0,Gender,Age,Ever_Married,Family_Size,Profession,Graduated,Work_Experience,Energy_Consumption,Preferred_Renewable,Group
128,Female,41,No,4.0,Engineer,Yes,0.0,Low,Solar,A
129,Male,28,No,2.0,Entertainment,No,8.0,Low,Solar,D
130,Male,55,Yes,2.0,Artist,Yes,4.0,Average,Solar,C
131,Female,58,Yes,2.0,Lawyer,No,1.0,High,Solar,A
132,Male,28,No,3.0,Healthcare,No,1.0,Low,Solar,D
133,Male,48,Yes,4.0,Artist,Yes,1.0,Average,Not Interested,C
134,Female,78,Yes,2.0,Doctor,No,1.0,High,Solar,B
135,Female,35,No,3.0,Doctor,Yes,1.0,Low,Solar,A
136,Female,76,Yes,2.0,Lawyer,Yes,0.0,High,Solar,C
137,Female,88,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
138,Male,61,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
139,Female,79,Yes,2.0,Artist,Yes,1.0,High,Solar,C
140,Male,30,No,4.0,Doctor,No,0.0,Low,Solar,D
141,Male,69,Yes,2.0,Executive,No,0.0,High,Solar,B
142,Male,65,Yes,2.0,Doctor,Yes,1.0,Average,Solar,C
143,Female,70,Yes,2.0,Lawyer,Yes,1.0,Low,Solar,A
144,Male,32,Yes,4.0,Healthcare,No,0.0,Average,Solar,D
145,Male,46,Yes,4.0,Entertainment,Yes,1.0,Low,Solar,A
146,Male,21,No,5.0,Healthcare,No,8.0,Low,Solar,D
147,Male,47,Yes,3.0,Doctor,Yes,1.0,Low,Solar,A
148,Female,39,No,2.0,Marketing,No,0.0,Low,Hydro,D
149,Male,85,Yes,3.0,Lawyer,Yes,0.0,Low,Solar,A
150,Female,66,No,2.0,Artist,Yes,0.0,Low,Solar,C
151,Female,50,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
152,Female,42,Yes,3.0,Artist,Yes,0.0,Average,Solar,C
153,Male,53,Yes,1.0,Artist,Yes,9.0,Low,Solar,A
154,Male,37,Yes,2.0,Artist,Yes,1.0,Low,Solar,A
155,Female,45,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
156,Female,66,No,1.0,Lawyer,No,1.0,Low,Solar,D
157,Male,33,No,2.0,Marketing,No,1.0,Low,Solar,D
158,Male,40,Yes,1.0,Artist,Yes,4.0,Low,Solar,A
159,Female,35,Yes,1.0,Artist,Yes,1.0,Low,Tidal,A
160,Male,27,No,2.0,Artist,Yes,1.0,Low,Solar,A
161,Female,48,Yes,3.0,Artist,Yes,0.0,Average,Hydro,C
162,Female,56,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
163,Male,25,Yes,6.0,Healthcare,Yes,1.0,Low,Solar,D
164,Female,30,No,8.0,Artist,No,1.0,Low,Solar,C
165,Female,46,Yes,3.0,Entertainment,Yes,7.0,Low,Solar,A
166,Male,49,Yes,2.0,Lawyer,No,0.0,Low,Solar,D
167,Male,72,Yes,4.0,Marketing,No,1.0,Low,Solar,D
168,Female,79,Yes,2.0,Lawyer,Yes,1.0,High,Solar,C
169,Female,35,No,3.0,Artist,Yes,1.0,Low,Solar,C
170,Female,77,Yes,1.0,Lawyer,Yes,0.0,Low,Solar,A
171,Female,79,Yes,2.0,Lawyer,No,1.0,High,Solar,A
172,Male,42,Yes,4.0,Healthcare,Yes,6.0,High,Solar,C
173,Female,42,No,1.0,Engineer,Yes,1.0,Low,Solar,A
174,Male,67,Yes,2.0,Lawyer,No,1.0,High,Tidal,D
175,Male,26,No,1.0,Healthcare,Yes,1.0,Low,Solar,D
176,Male,67,Yes,2.0,Lawyer,Yes,1.0,High,Solar,A
177,Male,55,Yes,1.0,Engineer,Yes,1.0,Low,Solar,A
178,Female,56,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
179,Male,63,Yes,4.0,Artist,Yes,1.0,Average,Solar,C
180,Male,46,Yes,2.0,Artist,Yes,8.0,Average,Solar,C
181,Male,32,Yes,2.0,Healthcare,Yes,7.0,Low,Solar,D
182,Female,49,No,1.0,Homemaker,Yes,13.0,Low,Solar,A
183,Male,59,Yes,2.0,Artist,Yes,1.0,High,Solar,C
184,Male,22,No,5.0,Healthcare,No,8.0,Low,Hydro,D
185,Female,28,No,1.0,Artist,Yes,8.0,Low,Solar,A
186,Male,28,No,3.0,Entertainment,Yes,1.0,Low,Solar,A
187,Male,75,Yes,1.0,Lawyer,Yes,2.0,Low,Solar,A
188,Female,37,Yes,2.0,Artist,Yes,13.0,Low,Solar,A
189,Male,50,Yes,2.0,Doctor,Yes,0.0,Average,Solar,C
190,Female,50,Yes,4.0,Executive,Yes,1.0,High,Solar,C
191,Female,88,Yes,2.0,Lawyer,No,1.0,Low,Solar,A
192,Female,35,Yes,5.0,Artist,Yes,3.0,Average,Hydro,C
193,Female,35,No,2.0,Artist,No,1.0,Low,Not Interested,A
194,Male,31,Yes,3.0,Entertainment,No,1.0,Average,Solar,A
195,Male,46,Yes,1.0,Artist,Yes,0.0,Low,Solar,A
196,Female,50,Yes,4.0,Artist,Yes,1.0,Average,Solar,C
197,Female,33,No,3.0,Artist,Yes,7.0,Low,Solar,C
198,Male,49,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
199,Male,52,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
200,Male,25,No,3.0,Healthcare,No,0.0,Low,Solar,D
201,Female,41,Yes,1.0,Artist,Yes,6.0,Low,Solar,A
202,Female,68,Yes,2.0,Artist,Yes,0.0,High,Solar,C
203,Female,79,Yes,2.0,Lawyer,No,2.0,High,Solar,A
204,Male,40,Yes,5.0,Entertainment,Yes,5.0,Average,Solar,C
205,Female,62,No,1.0,Doctor,Yes,1.0,Low,Solar,A
206,Male,21,No,2.0,Healthcare,No,1.0,Low,Solar,D
207,Female,20,No,4.0,Healthcare,No,1.0,Low,Tidal,D
208,Male,28,No,5.0,Entertainment,Yes,1.0,Low,Solar,D
209,Male,57,Yes,2.0,Doctor,Yes,0.0,Average,Hydro,B
210,Female,25,No,2.0,Healthcare,No,8.0,Low,Solar,D
211,Female,63,Yes,1.0,Engineer,No,8.0,Low,Solar,A
212,Female,26,Yes,3.0,Entertainment,No,1.0,Low,Solar,D
213,Female,50,Yes,3.0,Marketing,No,0.0,High,Hydro,D
214,Female,30,No,4.0,Marketing,No,9.0,Low,Biomass,D
215,Female,26,No,4.0,Engineer,No,1.0,Low,Hydro,D
216,Male,61,Yes,3.0,Artist,Yes,1.0,Average,Solar,C
217,Male,42,No,1.0,Artist,Yes,3.0,Low,Solar,A
218,Male,88,Yes,2.0,Artist,Yes,4.0,Low,Solar,C
219,Male,45,Yes,3.0,Artist,No,3.0,Average,Solar,C
220,Female,86,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,A
221,Male,18,No,5.0,Healthcare,No,1.0,Low,Solar,D
222,Male,37,No,1.0,Entertainment,Yes,1.0,Low,Solar,A
223,Male,46,Yes,1.0,Artist,Yes,1.0,Low,Solar,A
224,Male,58,Yes,2.0,Artist,No,1.0,Average,Solar,C
225,Female,72,Yes,2.0,Lawyer,Yes,8.0,High,Solar,C
226,Female,50,Yes,3.0,Artist,Yes,0.0,High,Solar,C
227,Female,56,Yes,3.0,Engineer,Yes,8.0,Average,Solar,B
228,Male,46,No,3.0,Artist,No,3.0,Low,Geothermal,A
229,Male,57,Yes,1.0,Artist,Yes,1.0,Low,Solar,B
230,Male,42,Yes,6.0,Executive,No,9.0,High,Solar,D
231,Male,20,No,4.0,Healthcare,No,1.0,Low,Solar,D
232,Male,19,No,3.0,Healthcare,No,1.0,Low,Solar,D
233,Male,19,No,4.0,Healthcare,No,4.0,Low,Solar,D
234,Male,68,Yes,1.0,Executive,Yes,1.0,Low,Solar,B
235,Female,40,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
236,Male,82,Yes,2.0,Lawyer,No,1.0,High,Solar,A
237,Female,23,No,3.0,Healthcare,No,1.0,Low,Solar,D
238,Female,84,Yes,2.0,Lawyer,No,1.0,High,Solar,B
239,Male,51,Yes,4.0,Artist,No,0.0,Low,Tidal,A
240,Male,59,Yes,2.0,Artist,Yes,1.0,Average,Solar,C
241,Female,41,Yes,5.0,Artist,Yes,1.0,Average,Solar,C
242,Male,51,Yes,2.0,Executive,No,1.0,High,Solar,B
243,Female,62,Yes,3.0,Artist,No,1.0,Average,Solar,C
244,Female,62,Yes,4.0,Lawyer,No,1.0,High,Hydro,A
245,Female,38,Yes,1.0,Artist,Yes,8.0,Low,Solar,A
246,Male,18,No,4.0,Artist,No,1.0,Low,Hydro,D
247,Male,22,No,4.0,Healthcare,No,3.0,Low,Solar,D
248,Female,30,Yes,3.0,Doctor,Yes,0.0,Low,Wind,A
249,Female,62,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,A
250,Female,43,No,3.0,Entertainment,No,1.0,Low,Solar,A
251,Female,32,No,1.0,Engineer,Yes,1.0,Low,Wind,A
252,Male,37,Yes,2.0,Artist,Yes,1.0,High,Solar,C
253,Male,48,No,1.0,Artist,Yes,1.0,Low,Solar,A
254,Female,31,No,2.0,Engineer,Yes,4.0,Low,Solar,A
255,Male,46,Yes,4.0,Artist,No,4.0,High,Solar,C
256,Female,49,Yes,4.0,Engineer,No,1.0,Average,Solar,B
257,Male,43,Yes,4.0,Doctor,No,1.0,Average,Solar,C
258,Male,42,No,1.0,Artist,Yes,8.0,Low,Solar,A
259,Male,37,Yes,2.0,Doctor,Yes,1.0,Low,Solar,A
260,Male,72,Yes,2.0,Entertainment,Yes,1.0,High,Solar,B
261,Male,71,Yes,1.0,Executive,No,1.0,High,Solar,B
262,Female,39,No,1.0,Engineer,Yes,1.0,Low,Hydro,A
263,Male,20,No,5.0,Healthcare,No,0.0,Low,Biomass,D
264,Female,26,No,1.0,Artist,No,1.0,Low,Not Interested,A
265,Male,72,Yes,1.0,Executive,Yes,1.0,Low,Solar,B
266,Male,70,Yes,1.0,Healthcare,Yes,0.0,Low,Hydro,D
267,Male,45,No,1.0,Artist,Yes,2.0,Low,Solar,A
268,Male,33,No,5.0,Executive,No,7.0,Low,Solar,D
269,Male,50,Yes,3.0,Entertainment,No,0.0,Average,Solar,B
270,Male,31,No,1.0,Entertainment,Yes,6.0,Low,Solar,A
271,Female,74,Yes,2.0,Lawyer,No,1.0,High,Solar,A
272,Female,68,Yes,2.0,Artist,No,1.0,High,Solar,C
273,Female,49,No,1.0,Artist,Yes,1.0,Low,Solar,C
274,Male,49,Yes,2.0,Marketing,Yes,0.0,High,Solar,C
275,Female,18,No,3.0,Healthcare,No,1.0,Low,Solar,D
276,Female,85,Yes,2.0,Entertainment,No,2.0,Average,Solar,C
277,Female,38,No,4.0,Entertainment,Yes,1.0,Low,Solar,A
278,Male,28,Yes,4.0,Artist,No,0.0,Low,Solar,A
279,Male,46,Yes,2.0,Artist,No,3.0,Average,Solar,C
280,Male,59,Yes,3.0,Homemaker,Yes,9.0,Average,Solar,C
281,Female,56,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
282,Male,69,Yes,1.0,Artist,Yes,0.0,Low,Solar,B
283,Male,66,Yes,2.0,Artist,Yes,0.0,Low,Solar,C
284,Male,18,No,6.0,Healthcare,No,4.0,Low,Biomass,D
285,Male,36,No,1.0,Artist,Yes,4.0,Low,Hydro,A
286,Male,31,No,2.0,Marketing,Yes,1.0,Low,Wind,D
287,Male,67,Yes,2.0,Executive,No,1.0,High,Hydro,B
288,Female,39,No,1.0,Artist,Yes,7.0,Low,Solar,A
289,Male,42,No,3.0,Entertainment,Yes,4.0,Low,Solar,A
290,Male,50,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
291,Female,37,Yes,2.0,Artist,Yes,0.0,Average,Solar,C
292,Female,59,No,1.0,Artist,Yes,0.0,Low,Solar,C
293,Male,50,Yes,2.0,Artist,Yes,8.0,Low,Solar,A
294,Male,48,Yes,3.0,Artist,Yes,8.0,Low,Biomass,B
295,Male,55,Yes,1.0,Artist,Yes,9.0,Low,Solar,A
296,Female,33,No,3.0,Doctor,Yes,1.0,Low,Solar,A
297,Male,38,No,1.0,Artist,Yes,13.0,Low,Not Interested,A
298,Male,43,No,2.0,Artist,Yes,0.0,Low,Solar,A
299,Female,53,No,2.0,Artist,Yes,0.0,Low,Solar,C
300,Male,37,No,1.0,Entertainment,Yes,0.0,Low,Solar,A
301,Female,36,No,1.0,Artist,Yes,5.0,Low,Solar,A
302,Male,36,No,1.0,Artist,Yes,5.0,Low,Solar,A
303,Male,62,Yes,1.0,Artist,Yes,1.0,Low,Solar,B
304,Female,38,No,2.0,Artist,No,2.0,Low,Solar,A
305,Male,55,No,1.0,Entertainment,Yes,1.0,Low,Solar,A
306,Male,60,Yes,2.0,Entertainment,No,1.0,Average,Solar,B
307,Female,36,Yes,2.0,Entertainment,Yes,7.0,Average,Geothermal,B
308,Male,30,No,9.0,Entertainment,No,5.0,Low,Wind,D
309,Female,66,No,3.0,Entertainment,No,4.0,Low,Solar,A
310,Male,45,Yes,1.0,Entertainment,Yes,1.0,Low,Solar,A
311,Female,40,No,2.0,Entertainment,Yes,6.0,Low,Solar,A
312,Female,45,Yes,3.0,Entertainment,Yes,5.0,Low,Solar,A
313,Male,41,Yes,1.0,Artist,Yes,2.0,Low,Solar,A
314,Female,62,Yes,1.0,Homemaker,Yes,4.0,Low,Geothermal,B
315,Male,61,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
316,Female,50,Yes,2.0,Artist,Yes,4.0,Low,Solar,B
317,Male,53,Yes,2.0,Entertainment,Yes,3.0,Low,Solar,A
318,Male,39,No,1.0,Artist,Yes,7.0,Low,Solar,A
319,Female,86,No,1.0,Lawyer,Yes,0.0,Low,Wind,A
320,Male,50,Yes,1.0,Artist,Yes,1.0,Low,Hydro,A
321,Female,46,No,2.0,Entertainment,No,4.0,Low,Hydro,A
322,Male,52,No,1.0,Marketing,Yes,0.0,Low,Wind,D
323,Female,45,No,1.0,Marketing,No,0.0,Low,Solar,D
324,Female,37,No,1.0,Artist,Yes,9.0,Low,Solar,A
325,Female,36,Yes,1.0,Engineer,Yes,3.0,Low,Solar,A
326,Female,25,No,1.0,Artist,Yes,1.0,Low,Solar,A
327,Female,40,No,1.0,Doctor,No,1.0,Low,Solar,A
328,Male,41,Yes,2.0,Artist,Yes,11.0,High,Solar,C
329,Female,25,Yes,2.0,Homemaker,Yes,1.0,High,Solar,B
330,Male,80,Yes,2.0,Lawyer,No,4.0,Average,Solar,C
331,Female,46,No,1.0,Artist,Yes,3.0,Low,Wind,A
332,Female,81,Yes,1.0,Lawyer,Yes,1.0,Low,Solar,A
333,Male,40,Yes,2.0,Artist,Yes,0.0,Low,Wind,A
334,Male,49,No,1.0,Artist,Yes,1.0,Low,Wind,A
335,Female,26,No,3.0,Healthcare,Yes,8.0,Low,Wind,D
336,Male,26,No,1.0,Artist,Yes,1.0,Low,Hydro,A
337,Female,47,No,1.0,Artist,Yes,0.0,Low,Hydro,A
338,Female,71,Yes,2.0,Entertainment,Yes,0.0,Low,Solar,A
339,Male,48,Yes,5.0,Engineer,Yes,1.0,Average,Solar,C
340,Male,39,Yes,3.0,Artist,Yes,1.0,Average,Biomass,C
341,Male,50,Yes,2.0,Artist,Yes,8.0,Average,Solar,C
342,Female,46,No,2.0,Artist,Yes,1.0,Low,Solar,C
343,Male,26,Yes,2.0,Engineer,Yes,8.0,Average,Wind,A
344,Female,42,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
345,Female,36,Yes,2.0,Artist,Yes,4.0,Low,Solar,B
346,Male,29,No,4.0,Healthcare,Yes,1.0,Low,Solar,D
347,Female,39,No,1.0,Artist,No,1.0,Low,Solar,A
348,Female,41,No,3.0,Artist,Yes,0.0,Low,Solar,C
349,Female,48,Yes,2.0,Marketing,Yes,8.0,Low,Solar,D
350,Male,40,Yes,3.0,Entertainment,Yes,9.0,High,Solar,A
351,Female,25,No,3.0,Healthcare,Yes,4.0,Low,Solar,D
352,Female,41,Yes,2.0,Artist,Yes,7.0,Low,Solar,A
353,Male,37,No,1.0,Artist,Yes,11.0,Low,Solar,A
354,Female,53,No,2.0,Doctor,Yes,0.0,Low,Wind,A
355,Female,51,Yes,3.0,Engineer,Yes,0.0,Average,Wind,B
356,Male,73,Yes,3.0,Entertainment,Yes,1.0,Average,Solar,C
357,Male,61,Yes,5.0,Artist,No,1.0,Low,Hydro,A
358,Male,39,No,1.0,Entertainment,Yes,5.0,Low,Wind,A
359,Female,19,No,4.0,Healthcare,No,0.0,Low,Biomass,D
360,Female,19,No,7.0,Healthcare,No,0.0,Low,Biomass,D
361,Female,23,No,5.0,Entertainment,No,1.0,Low,Biomass,D
362,Male,83,Yes,2.0,Executive,Yes,0.0,High,Biomass,B
363,Female,62,Yes,2.0,Artist,Yes,1.0,High,Solar,C
364,Female,43,No,4.0,Artist,Yes,9.0,Low,Solar,C
365,Female,27,No,5.0,Artist,No,0.0,Low,Biomass,B
366,Male,50,No,1.0,Artist,Yes,0.0,Low,Solar,A
367,Female,23,No,6.0,Entertainment,No,0.0,Low,Biomass,D
368,Male,35,No,2.0,Entertainment,No,9.0,Low,Solar,D
369,Male,32,No,3.0,Healthcare,No,9.0,Low,Solar,D
370,Female,42,No,3.0,Doctor,Yes,2.0,Low,Solar,A
371,Male,33,No,1.0,Entertainment,No,13.0,Low,Solar,D
372,Female,28,No,3.0,Entertainment,Yes,9.0,Low,Solar,A
373,Male,35,Yes,2.0,Artist,Yes,1.0,Low,Not Interested,A
374,Female,35,No,2.0,Healthcare,Yes,9.0,Low,Solar,D
375,Female,39,Yes,2.0,Entertainment,Yes,0.0,Low,Solar,A
376,Male,28,Yes,1.0,Artist,Yes,6.0,Low,Solar,A
377,Male,35,Yes,6.0,Entertainment,Yes,11.0,Low,Solar,D
378,Female,45,Yes,2.0,Engineer,Yes,0.0,Average,Solar,B
379,Female,73,Yes,2.0,Lawyer,Yes,4.0,High,Solar,C
380,Male,52,No,1.0,Entertainment,No,1.0,Low,Solar,A
381,Male,28,No,3.0,Healthcare,No,0.0,Low,Solar,D
382,Male,38,Yes,3.0,Healthcare,Yes,9.0,Low,Solar,D
383,Female,42,No,1.0,Entertainment,Yes,8.0,Low,Solar,A
384,Female,26,No,2.0,Doctor,No,9.0,Low,Solar,D
385,Female,27,No,2.0,Healthcare,Yes,7.0,Low,Solar,D
386,Male,41,Yes,2.0,Artist,Yes,0.0,Low,Solar,B
387,Male,41,Yes,2.0,Artist,Yes,1.0,Low,Solar,B
388,Male,47,Yes,4.0,Executive,Yes,0.0,High,Solar,C
389,Male,35,No,1.0,Doctor,Yes,8.0,Low,Solar,A
